"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.1048295494239","66.2932640432228","66.2090341785059","66.1077981845912","65.9444171010053","65.6208800923634","65.4990012145678","65.3434215225562","65.0913493896514","64.9211635200721","64.7750588021869","64.5772573002307","64.4077767880792","64.034141366228","63.7628719220721","63.0950370252197","62.5334392639813","62.1802005268378","61.8515262816796","61.257301058181","60.3115557564992","59.5283693266517","59.4338339018541","58.8272491221359","58.2669855999315","57.807498079531","57.3140438967664","56.7544585878285","56.1641628889165","56.6099814568688","56.3766205938314","55.7507748826987","",
"Afghanistan","AFG","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.6825974077206","64.7711851822447","65.0590052211412","65.186009477279","65.1691123775489","65.0615138707333","65.1876986227117","65.2774635024059","65.3547357159493","65.3479607149601","65.2541894141999","63.9316149892018","63.2560905870357","62.6406240501687","61.6371750441572","60.8719056790228","59.8526540961945","59.0025399171689","56.7226890756302","54.3494198640771","52.7909099883452","50.4166883853554","47.6973147130215","44.7985939684023","44.593516271076","44.3371365256191","43.9890310514772","44.4535996123663","45.0160398729983","45.9834078243144","46.5878230132384","46.5890700291054","",
"Africa Western and Central","AFW","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.2105715213043","60.9610811443799","60.800547567312","60.5691399385159","60.3527496384446","59.9746046528429","59.4761584246817","58.9065208877691","58.4488861083433","57.8013707439804","57.2186535026756","56.5790460590907","55.9245878084935","55.088574033973","54.5290062601084","53.9689970330572","53.1404990080633","52.3164964155316","51.3859420096407","50.4336069900837","49.8730699512493","48.998199840627","48.1861939805331","46.8765770241693","45.8688399217645","46.1535447736695","46.0122748875766","45.6389215631953","45.584447282743","45.8561917326568","45.6383092645131","45.0910338810313","",
"Angola","AGO","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.0718566747821","39.9382622594256","40.1263803076634","39.891772320315","39.3849532691177","38.8025436477442","38.4197642709686","38.1697504172627","37.572139586702","37.1460067373979","36.9251441306716","36.4258485038886","36.1555716487064","36.1663353037515","38.1609804036611","40.5238640648733","42.6903205223285","44.9381526016078","47.2185489495172","48.6825181321233","51.1022140863603","53.2924848831765","55.4400666745874","57.5996382189249","56.8499019175073","56.2217533928862","55.3202787713785","54.4014880039501","53.4233279860809","55.1641528611982","56.7075062685015","56.3182611295094","",
"Albania","ALB","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.2995330676931","53.1987915884304","52.9873489063028","52.7358711412837","52.413214895053","52.2033943922467","51.7549399360902","51.31901596418","50.6929932177496","49.9195895236636","48.9888174460637","48.1433279856814","47.9953407020216","47.6007875699632","46.9627184183368","46.357760432955","45.4934620699764","44.6560325183224","44.0516349157035","42.084408429302","45.3880219685875","45.9956311064524","44.1980267602681","42.2570628093978","41.2835252576312","40.0408524130362","38.0783461432966","37.2857324793531","36.4168555932713","36.190744246996","35.640847997783","34.9267183023205","",
"Andorra","AND","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4970394983325","31.5804463793693","30.7048613038895","30.3942331041232","30.0461644038978","29.1613959301156","29.0501438513047","28.4250676789783","27.893892990991","27.9588861128937","27.0665606121725","26.4520100868908","26.3461884532057","26.4115777219681","25.5691353247542","24.8508710462051","24.2388851779584","23.2073413953277","22.251373232322","21.3036186902853","20.9380255070093","20.2735893101382","20.1428990774684","19.7795473768186","18.8563934554092","18.321164798031","18.139008308893","17.0806038551633","16.8113540981702","16.7333990144538","16.3690302895491","16.0391590219402","",
"United Arab Emirates","ARE","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.31706576314204","9.16703230096301","8.97141511128585","8.80046672216819","8.60634271460032","8.59810214392662","8.57528072676325","8.48164381631643","8.50884636513142","8.53379294560655","7.90631751234114","7.35105279230374","6.84473974688871","6.41603417548131","5.97435856815698","5.34723701022147","4.75364636609568","4.25860508370897","3.86565533570231","3.56069372108222","3.27066188291156","2.9600830717329","2.65201410852019","2.36242912006488","2.06953873789531","1.83714068278615","1.63857357089548","1.46406280943164","2.24119552339228","1.78329799635895","1.42817054419814","1.38861863291703","",
"Argentina","ARG","Employment in agriculture (% of total employment) (modeled ILO estimate)","SL.AGR.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6699988790101","13.4722546179715","13.2612965634701","13.0483472777903","12.9353739664141","12.7351674687324","12.4786912533555","12.2271301844168","12.0645943871306","11.8943940069522","11.7608864894987","11.9459455546317","11.6123885531817","11.1246994711754","10.6450302749412","10.1667394285704","9.80082178666644","9.48649335179129","9.22641273969564","8.93145346549583","8.59001187423635","8.36641654523205","8.18454997204581","8.06158750475427","7.84271897891513","7.69432511495219","7.50320506463723","7.41370090688425","7.33087976070694","7.28575178937575","7.33360756511422","7.2059057084887","",
